#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	E_01_LE1_MKDL240002035-1A_22KHLFLT3_L1_1_kneaddata	E_01_LE2_MKDL240002036-1A_22KHLFLT3_L1_1_kneaddata	E_02_LE1_MKDL240002037-1A_22KHLFLT3_L1_1_kneaddata	E_02_LE2_MKDL240002038-1A_22KHLFLT3_L1_1_kneaddata	E_03_LE1_MKDL240002615-1A_22KHLFLT3_L1_1_kneaddata	E_03_LE2_MKDL240002040-1A_22KHLFLT3_L1_1_kneaddata	E_07_LE1_MKDL240002041-1A_22KHLFLT3_L1_1_kneaddata	E_07_LE2_MKDL240002042-1A_22KHLFLT3_L1_1_kneaddata	E_08_LE1_MKDL240002043-1A_22KHJWLT3_L2_1_kneaddata	E_08_LE2_MKDL240002044-1A_22KHJWLT3_L2_1_kneaddata	E_09_LE1_MKDL240002045-1A_22KHJWLT3_L2_1_kneaddata	E_09_LE2_MKDL240002046-1A_22KHJWLT3_L2_1_kneaddata	E_12_LE1_MKDL240002047-1A_22KHJWLT3_L2_1_kneaddata	E_12_LE2_MKDL240002048-1A_22KHJWLT3_L2_1_kneaddata	E_13_LE1_MKDL240002049-1A_22KHJWLT3_L2_1_kneaddata	E_13_LE2_MKDL240002616-1A_22KHLFLT3_L3_1_kneaddata	E_16_LE1_MKDL240002051-1A_22KHLFLT3_L3_1_kneaddata	E_16_LE2_MKDL240002052-1A_22KHLFLT3_L3_1_kneaddata	E_19_LE1_MKDL240002053-1A_22KHLFLT3_L3_1_kneaddata	E_19_LE2_MKDL240002054-1A_22KHLFLT3_L3_1_kneaddata	E_20_LE1_MKDL240002055-1A_22KHLFLT3_L3_1_kneaddata	E_20_LE2_MKDL240002056-1A_22KHLFLT3_L3_1_kneaddata
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri|t__SGB7039	0.0	0.0	0.1966347400128612	0.0	0.358231728117587	3.9682598677059535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria	0.0	0.0	0.0	0.0	0.1036663226334841	24.76506228643674	0.0	0.0	0.0	0.0	0.0	0.0	9.026297231952618	26.55707497057185	0.0	0.0	0.0	0.0	0.0	0.0	0.713999338739764	35.01756187159991
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.0	0.0	0.0	0.0	0.1036663226334841	24.76506228643674	0.0	0.0	0.0	0.0	0.0	0.0	9.026297231952618	26.55707497057185	0.0	0.0	0.0	0.0	0.0	0.0	0.713999338739764	35.01756187159991
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	0.0	0.0	0.0	0.0	0.1036663226334841	24.76506228643674	0.0	0.0	0.0	0.0	0.0	0.0	9.026297231952618	26.548367265630286	0.0	0.0	0.0	0.0	0.0	0.0	0.713999338739764	35.01756187159991
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	0.0	0.0	0.0	0.0	0.1036663226334841	24.76506228643674	0.0	0.0	0.0	0.0	0.0	0.0	9.026297231952618	26.548367265630286	0.0	0.0	0.0	0.0	0.0	0.0	0.713999338739764	35.01756187159991
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0.0	0.0	0.0	0.0	0.1036663226334841	24.76506228643674	0.0	0.0	0.0	0.0	0.0	0.0	9.026297231952618	26.548367265630286	0.0	0.0	0.0	0.0	0.0	0.0	0.713999338739764	35.01756187159991
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_jensenii	0.0	0.0	0.0	0.0	1.302025608537449	0.1945103664359324	0.0	0.5211140723989685	0.0	0.0	1.1902762108110136	3.899933382423414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	0.0	0.0	0.0	0.0	0.1036663226334841	24.76506228643674	0.0	0.0	0.0	0.0	0.0	0.0	9.026297231952618	26.548367265630286	0.0	0.0	0.0	0.0	0.0	0.0	0.713999338739764	35.01756187159991
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_jensenii|t__SGB7035	0.0	0.0	0.0	0.0	1.302025608537449	0.1945103664359324	0.0	0.5211140723989685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis|t__SGB17302	0.0	0.0	0.0	0.0	0.1036663226334841	24.76506228643674	0.0	0.0	0.0	0.0	0.0	0.0	0.1918708302216721	2.223034430757869	0.0	0.0	0.0	0.0	0.0	0.0	0.713999338739764	35.01756187159991
k__Bacteria|p__Bacteroidetes	0.0	0.0	0.0	0.0	0.0	0.022332157032309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.0	0.0	0.0	0.0	0.0	0.022332157032309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.0	0.0	0.0	0.0	0.0	0.022332157032309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.0	0.0	0.0	0.0	0.0	0.022332157032309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.0	0.0	0.0	0.0	0.0	0.022332157032309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia	0.0	0.0	0.0	0.0	0.0	0.022332157032309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia|t__SGB1557	0.0	0.0	0.0	0.0	0.0	0.022332157032309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus	0.0	0.0	0.0	0.0	0.0	0.0	0.6590672969962026	16.73376338749926	1.609765288190809	3.549996549398602	15.275452957263978	25.29647582438637	0.0	0.0	19.281772317785148	0.4870578374266451	0.0	0.0	0.0	0.0	0.0	0.0
